13:22:54.635 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:06:13.479 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:42] [Message:15]- 15
18:08:28.359 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 20260 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 20260 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:08:28.363 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:08:33.451 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.782 seconds (JVM running for 6.212)]- Started DemoApplication in 5.782 seconds (JVM running for 6.212)
18:08:37.840 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:08:37.870 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:08:37.871 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:08:37.871 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:08:37.910 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
18:09:05.282 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11204 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11204 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:09:05.286 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:09:09.750 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.023 seconds (JVM running for 5.469)]- Started DemoApplication in 5.023 seconds (JVM running for 5.469)
18:09:11.945 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:09:11.974 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:09:11.975 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:09:11.975 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:09:12.015 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
18:09:50.935 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 596 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 596 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:09:50.939 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:09:55.208 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 4.822 seconds (JVM running for 5.254)]- Started DemoApplication in 4.822 seconds (JVM running for 5.254)
18:10:11.413 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:10:11.446 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:10:11.447 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:10:11.447 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:10:11.490 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
18:22:06.834 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 4152 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 4152 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:22:06.837 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:22:11.928 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.658 seconds (JVM running for 6.06)]- Started DemoApplication in 5.658 seconds (JVM running for 6.06)
18:22:16.902 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:22:16.903 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:22:16.903 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:22:18.924 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:22:18.924 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:22:18.924 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:28:12.096 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 16592 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 16592 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:28:12.100 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
